  Time                 , V(Q1:G)              , V(Q1:D)              , I(Q1:D)              
  2.000000000000e-08  ,4.185574220948e-04  ,2.998251637223e-02  ,6.193850208271e-03  
  2.056000426412e-08  ,4.307076001659e-04  ,3.085128061910e-02  ,6.367272937301e-03  
  2.168001279235e-08  ,4.558717482749e-04  ,3.263768513285e-02  ,6.714108724695e-03  
  2.392002984881e-08  ,5.098470333544e-04  ,3.650104964212e-02  ,7.407665012417e-03  
  2.840006396174e-08  ,6.328142356238e-04  ,4.539264688770e-02  ,8.794091149540e-03  
  3.736013218760e-08  ,9.351103309319e-04  ,6.790173447507e-02  ,1.156325617010e-02  
  5.528026863933e-08  ,1.741658691480e-03  ,1.325461785533e-01  ,1.710382314489e-02  
  9.112054154277e-08  ,4.062129725551e-03  ,3.490889674121e-01  ,2.812403970097e-02  
  1.179754142463e-07  ,6.451020697887e-03  ,6.014417284470e-01  ,3.618971805890e-02  
  1.404910688102e-07  ,6.865381055298e-03  ,7.444320630148e-01  ,1.489145987284e-02  
  1.621990804374e-07  ,5.266866472997e-03  ,7.663492413620e-01  ,-8.570099732794e-03  
  1.835673455894e-07  ,3.791725790595e-03  ,7.662857287082e-01  ,-1.578074997854e-03  
  2.263038758934e-07  ,2.006567504032e-03  ,7.714662688119e-01  ,2.334374878676e-03  
  3.004520539939e-07  ,7.055685591672e-04  ,7.837723307482e-01  ,-1.304382360104e-03  
  4.215686921775e-07  ,6.319697120275e-06  ,7.981937758331e-01  ,2.749852230023e-04  
  5.739181642234e-07  ,-4.627915724331e-05  ,8.153012568086e-01  ,3.309664659860e-04  
  8.326500062644e-07  ,6.769039134161e-05  ,8.436363785095e-01  ,3.263335895103e-04  
  1.096865475625e-06  ,1.315736921264e-04  ,8.739596958049e-01  ,3.524892043237e-04  
  1.625296414346e-06  ,1.703376767050e-04  ,9.428110497536e-01  ,4.215918549566e-04  
  2.000000020000e-06  ,2.160017024601e-04  ,9.996050153828e-01  ,4.649571431018e-04  
  2.001000018000e-06  ,5.768610131677e-01  ,9.999021306981e-01  ,-4.856691140505e-04  
  2.001060577250e-06  ,6.118308758271e-01  ,9.999204751690e-01  ,-5.457775360406e-04  
  2.001181695751e-06  ,6.818969787629e-01  ,9.999580335281e-01  ,-6.719618941464e-04  
  2.001423932753e-06  ,8.226211187746e-01  ,1.000036304221e+00  ,-9.463764186256e-04  
  2.001908406756e-06  ,1.106495491887e+00  ,1.000199919728e+00  ,-1.544576162187e-03  
  2.002877354763e-06  ,1.683916196338e+00  ,1.000537641236e+00  ,-2.813769585800e-03  
  2.004815250776e-06  ,2.876821023723e+00  ,1.001209778454e+00  ,-5.326349312991e-03  
  2.008691042803e-06  ,5.409449740343e+00  ,1.002524566808e+00  ,-1.013339882648e-02  
  2.010000020000e-06  ,6.307930036507e+00  ,1.002960173170e+00  ,-1.169411060464e-02  
  2.010775178405e-06  ,6.408940862262e+00  ,1.003118606582e+00  ,-1.191565842023e-02  
  2.012325457963e-06  ,6.608608869234e+00  ,1.003368172397e+00  ,-1.188407681991e-02  
  2.015426017078e-06  ,6.994181908004e+00  ,1.003783068984e+00  ,-1.122538189495e-02  
  2.019200481209e-06  ,7.439958910982e+00  ,1.004312708090e+00  ,-1.059508024905e-02  
  2.022965259584e-06  ,7.846364865129e+00  ,3.922731852736e-01  ,6.102528690432e-01  
  2.025035403403e-06  ,8.065925930729e+00  ,2.327830804413e-01  ,6.107820422456e-01  
  2.026922262939e-06  ,8.261085220256e+00  ,1.812217658017e-01  ,6.114357174015e-01  
  2.028677433464e-06  ,8.438059082149e+00  ,1.709315588471e-01  ,6.119761534910e-01  
  2.030773654315e-06  ,8.643479205853e+00  ,1.716337473780e-01  ,6.126223607777e-01  
  2.033347457382e-06  ,8.886971661876e+00  ,1.742660172862e-01  ,6.134149812072e-01  
  2.037647932502e-06  ,9.273328419925e+00  ,1.760078994924e-01  ,6.147416848804e-01  
  2.046248882743e-06  ,9.975679084689e+00  ,1.767040845330e-01  ,6.173928266105e-01  
  2.063313692543e-06  ,1.113332836497e+01  ,1.776825495943e-01  ,6.226526683160e-01  
  2.080226510498e-06  ,1.202430148019e+01  ,1.788903523356e-01  ,6.278654802381e-01  
  2.114052146408e-06  ,1.323933824499e+01  ,1.815427595065e-01  ,6.382904679615e-01  
  2.181703418228e-06  ,1.443340843239e+01  ,1.871543872165e-01  ,6.591376471091e-01  
